sensitive_attributes,demographic_imbalance,historical_bias,fairness_testing,proxy_risk,pii_usage,anonymization,retention_policy,third_party_data,encryption,model_type,explanation_available,documentation_quality,audit_conducted,automation_level,human_review,impact_severity,appeals_mechanism,risk_category
1,0,1,1,2,0,1,0,0,0,1,1,1,1,0,1,1,1,Moderate
0,2,0,1,2,1,1,0,1,1,1,1,0,1,2,1,0,0,Moderate
0,0,0,1,2,2,0,1,1,1,2,0,2,0,1,0,1,0,High
1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,Critical
1,0,0,0,0,1,0,0,1,1,2,1,1,0,1,0,2,0,Critical
0,1,1,1,1,2,0,0,1,0,1,0,1,1,2,0,0,0,High
1,1,0,0,2,1,1,0,0,0,1,0,2,0,0,1,0,0,High
1,2,0,1,1,1,0,0,0,0,2,1,1,0,0,1,1,0,High
0,0,0,1,1,1,1,0,1,0,2,0,0,1,0,1,1,0,Moderate
0,0,0,0,0,1,1,0,0,1,2,1,2,0,2,1,2,1,High
1,1,1,1,0,2,1,0,1,0,1,1,1,1,2,0,1,1,High
0,0,1,0,1,2,0,1,0,0,1,1,1,1,2,1,0,0,High
0,1,1,0,2,2,1,0,1,1,0,1,0,0,0,1,0,0,Moderate
1,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,Moderate
0,2,1,0,2,2,0,0,1,0,1,0,2,0,1,0,0,1,Critical
0,0,1,1,2,1,1,0,1,1,1,0,1,1,2,1,0,1,Moderate
1,0,1,0,1,2,1,1,1,1,2,0,0,0,0,0,2,0,Critical
1,1,0,1,1,1,1,1,0,1,1,0,2,1,1,1,2,0,High
0,0,0,1,1,0,0,1,0,0,2,1,1,0,2,0,0,1,Moderate
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,Moderate
1,1,1,1,0,1,0,1,1,1,0,0,2,1,1,1,0,0,Moderate
1,2,1,0,0,1,1,1,0,0,2,1,2,1,0,0,2,0,Critical
1,2,1,0,1,0,1,1,0,0,2,0,0,0,1,1,0,0,High
1,1,0,1,0,2,0,1,0,0,2,0,1,0,1,0,2,0,Critical
0,1,0,1,1,2,0,1,0,0,1,0,1,1,0,0,2,1,High
1,1,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,Moderate
1,1,0,1,2,1,0,1,0,1,2,1,2,1,0,0,0,0,Moderate
0,1,0,0,2,2,0,1,1,1,1,1,0,0,1,0,1,0,High
1,2,0,1,1,0,0,1,0,1,0,1,1,1,1,1,2,0,High
0,2,0,0,2,2,1,1,1,0,1,0,2,0,1,0,1,1,Critical
1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,Moderate
1,0,0,1,2,1,0,1,0,0,1,1,0,1,2,0,2,0,High
1,1,0,0,2,2,1,0,1,1,0,1,1,1,1,1,1,0,High
0,0,0,1,2,0,0,1,1,1,0,0,0,1,2,0,1,1,Moderate
0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,0,Moderate
1,1,1,0,1,2,1,1,1,1,2,1,1,1,1,1,0,1,High
0,2,1,1,0,2,0,1,1,0,0,1,1,0,2,0,0,0,High
0,0,0,0,1,2,0,0,1,1,2,1,0,0,1,0,0,0,High
0,0,0,0,1,0,0,1,1,1,1,1,2,1,1,0,2,0,High
0,2,0,1,2,1,1,0,0,1,2,0,0,0,1,1,0,1,Moderate
0,2,0,1,1,0,0,0,1,0,2,1,1,0,2,1,2,0,Critical
0,2,0,1,0,0,1,0,0,1,2,1,1,0,0,0,1,0,Moderate
1,2,0,1,0,0,0,1,0,1,2,1,2,1,1,0,1,1,High
1,0,1,1,1,1,1,1,0,0,2,0,0,0,0,1,0,1,Moderate
0,0,0,1,2,2,1,1,0,1,0,0,0,0,0,1,1,1,Moderate
1,1,1,1,2,2,0,0,1,0,0,1,0,1,2,0,0,0,High
1,1,1,0,0,2,1,0,1,0,0,1,1,1,2,1,2,1,Critical
1,2,0,1,2,1,1,1,0,0,1,1,0,0,0,0,1,0,High
1,2,1,0,1,2,0,1,0,0,2,1,2,1,1,0,0,1,Critical
0,2,1,1,1,1,1,1,0,0,0,1,1,0,2,0,1,1,High
1,1,1,1,0,2,0,1,0,1,1,0,1,0,1,1,1,1,High
1,1,1,0,1,2,0,1,1,0,0,0,0,0,1,1,0,0,High
0,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,Moderate
0,1,1,1,1,1,0,0,1,0,2,1,1,0,0,1,1,0,High
1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,High
1,1,1,1,2,0,1,1,0,1,2,0,0,1,0,1,1,0,Moderate
1,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,2,0,High
1,2,1,1,1,1,0,0,0,1,0,1,2,1,1,0,1,0,High
1,2,0,0,0,1,1,0,1,0,2,1,0,1,1,0,1,0,High
1,2,1,1,0,2,1,0,1,1,1,0,2,1,1,1,0,0,High
0,2,0,1,1,0,0,0,1,0,2,1,1,1,1,0,2,1,High
1,1,1,1,0,2,0,1,0,0,2,0,2,1,0,0,0,1,High
1,0,0,1,1,0,1,0,0,1,2,0,2,0,1,1,0,0,Moderate
0,1,0,0,2,1,0,1,1,0,0,0,2,1,1,0,0,0,High
0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,2,0,High
0,2,1,1,1,1,0,1,0,0,0,1,0,0,2,1,0,0,Moderate
0,1,0,1,2,0,0,1,0,1,0,1,1,0,2,1,0,1,Moderate
1,2,1,0,2,1,1,1,1,0,0,1,0,0,0,0,0,1,High
1,1,0,0,1,0,0,0,0,0,0,1,2,0,2,1,1,0,High
1,2,0,1,0,2,0,0,0,1,0,0,2,0,0,1,0,1,Moderate
1,0,0,0,1,0,0,1,1,0,1,1,2,1,1,1,2,1,High
1,0,0,1,2,2,0,1,0,0,2,0,2,1,1,1,2,0,Critical
1,0,0,0,1,0,0,1,1,0,0,1,2,1,2,0,1,0,High
0,1,1,0,0,2,0,0,0,0,0,1,0,0,1,1,2,0,High
1,0,0,0,2,1,0,1,1,0,1,1,0,1,2,0,2,0,Critical
0,1,0,0,1,2,0,0,0,0,1,0,2,1,2,1,1,1,High
0,0,1,1,0,1,1,1,1,1,2,0,1,1,1,0,0,0,Moderate
1,0,0,0,2,1,0,0,1,1,1,0,1,0,1,1,1,1,High
0,1,1,0,0,2,1,1,1,1,2,0,2,1,2,0,0,0,High
1,1,1,1,2,0,0,0,1,0,0,1,0,0,1,1,0,1,Moderate
0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,2,0,High
1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,High
0,0,0,1,2,0,0,0,1,0,1,1,1,0,1,0,2,1,High
1,1,0,0,0,0,1,0,0,0,2,1,2,0,0,1,2,1,High
1,2,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,High
1,2,0,1,1,0,0,0,0,1,0,1,1,1,1,0,2,0,High
1,2,1,1,0,1,1,0,0,0,1,0,1,0,2,0,1,1,Critical
1,2,0,1,2,1,1,0,0,1,2,1,1,1,1,0,2,1,High
0,2,1,0,2,1,0,1,1,0,2,0,0,0,1,1,2,1,Critical
0,0,0,1,2,2,1,1,1,1,0,0,2,0,0,0,0,1,Moderate
0,2,0,0,2,2,1,1,1,1,1,0,2,1,2,0,1,1,Critical
1,2,0,0,1,1,1,1,1,1,1,0,0,1,2,0,2,1,Critical
0,2,1,0,0,2,0,1,0,1,1,0,0,1,2,1,0,1,High
1,2,1,0,1,0,0,0,0,1,0,1,2,0,1,0,2,1,Critical
1,1,0,0,0,0,0,0,1,1,1,0,1,0,2,0,1,1,High
0,0,0,0,0,1,1,0,0,0,2,0,1,1,0,0,2,0,High
0,2,1,0,0,0,0,0,0,1,1,0,2,0,2,0,2,0,Critical
1,2,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,Moderate
0,2,1,0,0,1,0,1,0,1,1,0,0,0,2,0,2,0,Critical
1,0,0,0,1,0,0,1,1,0,1,1,1,1,2,0,0,0,High
1,1,1,1,2,2,1,1,1,1,2,1,1,1,0,1,1,1,High
1,0,0,1,2,0,0,1,0,1,1,0,1,0,2,1,2,1,High
1,1,1,1,0,0,1,0,0,0,2,1,2,1,2,1,1,1,High
1,2,0,0,1,1,1,0,1,1,2,0,0,1,2,0,1,1,Critical
0,2,1,1,2,1,0,0,1,1,0,1,1,0,1,1,2,1,High
0,0,1,1,1,1,1,1,0,1,2,1,2,1,0,0,0,1,Moderate
1,0,1,1,1,1,0,0,1,0,2,0,1,0,2,1,1,0,Critical
1,1,1,0,0,2,0,1,1,1,0,1,0,1,0,0,1,1,High
0,1,1,0,2,2,1,0,1,0,2,1,1,0,0,1,2,0,Critical
0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,1,Moderate
1,1,1,0,0,1,1,1,1,1,1,0,1,1,2,1,2,1,High
0,0,1,1,2,1,0,0,0,0,0,1,0,1,2,0,2,0,High
1,1,1,1,2,1,0,0,1,1,2,1,1,1,0,0,2,1,Critical
0,0,0,1,1,2,0,1,0,1,0,1,0,0,1,0,2,1,Moderate
1,0,1,1,2,1,0,0,1,0,2,0,1,0,0,0,0,0,High
0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,Moderate
1,1,1,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,Moderate
0,1,1,0,1,1,1,0,0,0,1,1,2,0,0,0,0,1,Moderate
0,1,0,1,2,0,1,0,1,0,2,0,0,0,0,0,2,1,High
1,0,1,0,0,0,1,0,1,1,2,0,1,0,2,1,1,0,High
0,1,0,0,1,2,1,0,1,0,1,0,0,1,1,0,0,1,High
1,1,0,1,0,1,1,0,0,0,0,0,2,1,1,0,2,0,High
0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,2,0,Moderate
1,2,0,0,2,2,0,0,0,0,2,0,0,1,2,0,1,0,Critical
0,0,1,0,0,0,1,1,1,1,1,1,2,0,2,1,0,1,Moderate
1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,Moderate
0,0,0,0,2,1,0,0,0,1,0,1,0,0,2,1,0,0,Moderate
1,2,0,0,1,0,0,0,0,1,0,1,2,1,1,1,2,1,High
0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,1,1,High
1,1,0,1,2,2,1,0,1,0,1,0,2,1,1,1,1,1,High
1,2,1,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,High
1,1,1,1,0,2,1,1,0,0,0,0,1,0,1,0,2,1,High
0,2,0,0,1,2,0,0,0,0,2,0,1,0,1,0,0,0,Critical
1,2,1,1,0,1,0,0,1,1,0,1,2,0,0,0,1,1,High
0,0,1,0,2,2,1,1,1,0,0,0,2,1,1,1,2,1,High
1,0,1,0,0,2,1,0,1,0,1,0,2,1,1,0,0,0,High
0,1,1,1,1,2,0,0,0,0,1,0,1,0,0,1,0,1,Moderate
1,0,0,0,1,0,0,1,0,1,2,0,1,1,0,1,2,0,High
0,0,0,0,2,1,0,0,0,1,0,1,0,0,2,0,1,1,High
0,2,1,1,1,1,0,1,0,0,2,1,1,0,1,0,2,0,Critical
1,0,0,1,0,1,1,0,0,1,1,1,0,0,2,0,0,1,Moderate
0,2,0,1,1,0,0,0,1,0,2,1,2,0,2,0,0,1,High
0,2,0,0,2,0,0,1,0,0,1,1,2,1,0,1,0,1,Moderate
1,2,1,1,1,1,0,1,0,1,2,0,1,0,2,0,0,0,Critical
0,1,1,1,1,0,1,0,0,1,2,1,2,0,1,1,1,0,High
0,1,1,0,1,1,1,1,0,0,0,1,2,1,0,0,1,0,High
0,1,0,1,2,0,0,1,0,0,2,1,1,0,1,0,0,1,Moderate
1,2,1,1,1,2,0,0,1,1,0,0,0,1,1,0,1,0,Critical
0,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,High
1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,Moderate
0,0,1,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,Moderate
0,1,1,0,1,0,1,1,1,1,2,0,1,0,1,0,2,0,Critical
0,1,0,0,2,2,0,1,1,0,1,1,2,0,0,1,2,0,Critical
1,2,0,1,1,2,1,1,1,0,1,0,1,0,2,1,2,0,Critical
0,2,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,High
0,2,1,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,High
1,2,1,1,0,0,0,0,0,0,0,1,2,1,1,1,1,0,High
0,2,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,Low
1,2,0,1,0,0,0,0,1,0,2,1,0,0,1,1,0,1,Moderate
1,1,0,0,2,0,1,0,0,0,0,0,2,1,0,1,2,0,High
0,2,1,0,2,1,1,0,0,0,1,1,2,0,2,0,2,1,Critical
1,2,1,0,0,0,0,1,0,1,0,0,2,1,2,0,0,1,High
0,0,0,1,2,2,0,0,1,1,1,0,1,0,2,1,2,0,Critical
1,1,0,1,1,1,1,0,0,1,1,0,2,1,0,0,1,0,High
1,1,0,0,1,0,0,1,0,0,1,1,2,1,2,1,0,0,High
0,1,0,1,1,2,1,0,1,0,0,1,2,0,0,1,0,1,Moderate
1,2,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,0,High
1,2,0,1,2,2,1,1,0,0,0,1,0,0,1,1,1,1,High
1,2,1,0,0,0,1,0,1,1,1,0,1,0,2,1,1,0,High
1,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,2,1,Moderate
1,2,1,1,1,0,1,1,0,0,2,0,1,0,1,0,0,1,High
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,Moderate
1,1,0,0,2,1,0,1,0,1,2,1,2,1,0,1,1,0,High
0,2,0,1,2,1,1,1,0,0,2,1,0,1,1,0,2,1,High
1,0,0,1,1,2,1,1,1,0,0,0,1,1,0,1,1,1,Moderate
0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,High
0,2,0,0,0,2,0,1,1,0,2,0,2,1,1,0,2,0,Critical
1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,High
1,1,1,1,1,0,0,0,0,1,2,0,2,1,0,0,2,0,Critical
1,1,0,1,0,0,0,0,0,0,1,1,2,1,1,0,0,1,Moderate
0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,2,0,High
1,0,1,0,1,1,1,1,0,0,0,0,2,0,1,0,2,0,Critical
0,0,1,1,1,1,0,0,0,0,0,0,2,0,1,1,0,0,Moderate
0,0,1,1,2,1,0,1,1,0,1,0,0,1,2,1,1,1,High
0,1,1,0,0,1,1,1,1,0,2,1,2,0,2,0,0,0,High
1,2,1,1,0,0,0,0,0,0,0,0,2,0,2,0,2,1,Critical
1,0,1,0,1,1,0,1,0,0,2,1,2,1,0,1,1,0,High
0,0,1,1,1,0,0,1,0,0,2,1,2,1,0,1,2,1,Moderate
0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,2,1,Moderate
1,2,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,High
0,2,0,0,0,1,1,1,0,1,2,1,2,0,1,0,0,1,Moderate
1,1,0,1,2,0,0,1,0,1,0,0,2,0,1,1,1,1,Moderate
0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,Moderate
1,2,0,1,0,1,1,0,0,0,1,0,2,0,1,0,1,1,High
0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,2,0,High
1,2,0,1,0,2,1,1,1,1,0,0,0,0,2,1,0,0,Moderate
0,1,0,0,0,0,0,1,1,0,2,1,0,1,1,1,0,0,Moderate
1,0,0,0,1,2,1,1,1,1,1,1,2,1,1,0,0,1,Moderate
1,0,1,1,2,1,1,0,1,1,0,0,2,1,1,0,1,1,High
0,1,0,0,0,2,0,1,1,0,2,1,2,1,0,0,0,0,High
0,1,1,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,High
1,1,1,1,0,2,0,1,0,0,1,1,2,1,1,0,0,1,High
0,2,0,1,2,1,0,0,0,1,2,1,2,1,1,1,1,0,High
1,2,0,1,2,2,0,0,1,1,2,1,0,1,2,0,0,0,Critical
0,0,0,1,1,2,1,0,0,0,2,1,2,1,1,0,1,1,High
1,1,1,0,2,2,1,0,1,0,2,1,0,0,0,0,0,0,High
1,0,0,0,1,0,1,0,1,1,2,0,2,0,1,1,0,1,Moderate
1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0,Moderate
1,0,1,1,2,0,1,1,0,1,0,1,2,1,0,0,1,1,Moderate
1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,Moderate
1,1,0,0,2,2,1,0,1,0,0,1,1,0,2,1,0,1,High
0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,2,1,Moderate
0,1,1,0,2,1,0,0,0,0,0,1,0,1,2,1,1,1,High
0,1,1,1,2,2,1,0,1,0,2,1,0,0,1,1,1,0,High
1,2,0,1,1,0,1,1,1,0,1,1,2,0,0,1,0,0,Moderate
1,1,1,0,0,2,0,1,0,1,1,0,2,1,1,0,2,0,Critical
1,2,0,1,1,1,0,0,0,0,1,0,2,1,2,1,0,1,High
1,1,1,0,2,1,0,0,0,0,1,1,1,1,1,1,1,0,High
0,1,1,1,0,2,0,1,1,0,0,1,1,0,1,0,1,1,High
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,Moderate
1,2,1,1,1,0,0,1,0,0,2,0,1,0,1,0,0,0,High
0,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,2,1,High
0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,2,0,Moderate
1,2,1,1,2,0,1,1,0,1,0,0,0,0,0,1,1,1,Moderate
0,2,0,0,1,2,0,1,0,0,2,1,1,0,2,1,2,1,Critical
1,2,0,1,1,1,0,1,0,1,2,0,2,1,2,1,2,0,Critical
0,2,1,1,1,0,1,0,0,1,2,1,1,1,1,0,1,1,High
1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,Moderate
1,2,0,1,1,2,1,0,1,1,0,0,0,0,1,1,1,1,High
1,1,0,1,2,0,0,0,1,1,2,0,1,1,2,0,1,0,Critical
1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,1,0,1,Moderate
0,2,0,1,1,2,0,0,0,1,2,0,0,0,2,1,1,0,High
1,2,1,1,0,1,1,1,1,1,2,1,1,0,2,1,1,0,High
1,1,1,0,2,2,1,1,1,1,2,0,1,1,0,1,1,1,High
1,1,0,1,0,2,1,1,1,1,2,0,1,0,0,0,2,0,High
0,0,0,1,2,0,0,1,0,1,0,0,0,1,1,0,1,1,Moderate
1,1,0,1,1,2,0,0,0,0,1,1,0,1,1,0,0,1,Moderate
0,1,1,1,2,1,1,0,1,0,2,0,2,0,2,0,0,0,Critical
1,2,0,1,1,2,0,0,1,1,1,1,2,1,0,0,1,0,High
0,1,0,0,2,2,1,1,0,1,1,0,1,0,0,1,0,0,Moderate
0,0,0,1,1,0,0,1,0,0,1,1,2,0,1,1,2,0,High
1,1,0,0,1,2,0,1,1,1,2,0,0,0,2,0,1,0,Critical
0,2,0,0,1,2,0,1,0,1,0,1,2,1,2,0,0,1,High
1,2,1,0,1,1,1,1,1,0,2,1,0,0,1,0,0,0,High
1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,High
1,2,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,High
0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,Moderate
0,0,0,0,0,2,1,1,0,1,2,1,2,1,1,1,0,0,Moderate
1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,2,1,High
1,1,1,1,0,2,1,0,1,0,0,1,1,0,0,1,0,0,Moderate
